algorithm	rule height	starting tree height	total seconds	seconds per splay
TD	2	14	3.66261	3.49294e-06
TD	3	14	2.92423	2.78877e-06
TD	4	14	2.65951	2.53631e-06
TD	5	14	2.42871	2.3162e-06
TD	6	14	2.27329	2.16798e-06
TD	7	14	2.201	2.09904e-06
TD	8	14	2.15881	2.0588e-06
TD	9	14	2.10939	2.01167e-06
TD	10	14	2.05996	1.96453e-06
TD	11	14	2.04574	1.95097e-06
TD	12	14	2.04082	1.94627e-06
TD	13	14	1.99178	1.89951e-06
TD	14	14	2.48657	2.37138e-06
TD	15	14	2.46945	2.35505e-06
TD	16	14	2.52108	2.40429e-06
TD	17	14	2.49469	2.37912e-06
TD	18	14	2.40849	2.29691e-06
BU	2	14	3.90043	3.71974e-06
BU	3	14	3.50256	3.3403e-06
BU	4	14	3.29426	3.14165e-06
BU	5	14	2.90615	2.77152e-06
BU	6	14	2.7941	2.66466e-06
BU	7	14	2.74258	2.61553e-06
BU	8	14	2.7635	2.63548e-06
BU	9	14	2.72921	2.60278e-06
BU	10	14	2.74168	2.61467e-06
BU	11	14	2.73896	2.61208e-06
BU	12	14	3.09346	2.95015e-06
BU	13	14	3.37891	3.22238e-06
BU	14	14	3.58087	3.41498e-06
BU	15	14	3.75277	3.57892e-06
BU	16	14	3.9083	3.72724e-06
BU	17	14	3.8601	3.68128e-06
BU	18	14	3.92536	3.74352e-06
